TableName,TableType,Tier,Plan,Retention,Status,LastIngestion,TotalGB,EstCostUSD
ASRv2JobEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASRv2HealthEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASRv2ReplicationVaults,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASRv2ReplicationPolicies,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASRv2ReplicationExtensions,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASRv2ProtectedItems,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
VCoreMongoRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCMClusterOperationsLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCCKubernetesLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MNFSystemStateMessageUpdates,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNFailedMqttSubscriptions,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNFailedMqttPublishedMessages,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNMqttDisconnections,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACSCallDiagnosticsUpdates,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACSCallSummary,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACSCallSummaryUpdates,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ContainerAppConsoleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppEnvSpringAppConsoleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppEnvSessionConsoleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppEnvSessionPoolEventLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppEnvSessionLifecycleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DevCenterDiagnosticLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DevCenterResourceOperationLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MicrosoftGraphActivityLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
APIMDevPortalAuditDiagnosticLog,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ApiManagementGatewayLlmLog,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ArcK8sAudit,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ArcK8sAuditAdmin,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ArcK8sControlPlane,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
TOUserAudits,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
TOUserDiagnostics,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CloudHsmServiceOperationAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DataTransferOperations,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DNSQueryLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNSuccessfulMqttConnections,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNFailedMqttConnections,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCCPlatformOperationsLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCCVMOrchestrationLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCSStorageAudits,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCSStorageAlerts,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AMSMediaAccountHealth,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AMSLiveEventOperations,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AMSStreamingEndpointRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AOIDigestion,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AOIDatabaseQuery,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AOIStorage,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NGXOperationLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NginxUpstreamUpdateLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACLTransactionLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AFSAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
StorageMoverCopyLogsFailed,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
StorageMoverCopyLogsTransferred,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseSqlPoolExecRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseSqlPoolRequestSteps,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseSqlPoolDmsWorkers,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseSqlPoolWaits,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AmlComputeClusterEvent,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AmlComputeClusterNodeEvent,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AmlComputeJobEvent,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACSCallAutomationIncomingOperations,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACSCallAutomationStreamingUsage,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSApplicationMetricLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppAvailabilityResults,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AMSKeyDeliveryRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppDependencies,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MDCDetectionProcessV2Events,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MDCDetectionDNSEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCSStorageLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ALBHealthEvent,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NatGatewayFlowlogsV1,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
REDConnectionEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSHybridConnectionsEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASCAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SCGPoolExecutionLog,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SCGPoolRequestLog,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AVNMNetworkGroupMembershipChange,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AVNMRuleCollectionChange,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AVNMConnectivityConfigurationChange,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AVNMIPAMPoolAllocationChange,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ChaosStudioExperimentEventLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DevCenterBillingEventLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MDPResourceLog,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AEWExperimentAssignmentSummary,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AEWExperimentScorecards,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AEWExperimentScorecardMetricPairs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AHDSDeidAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CCFApplicationLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
